Age ,Daily Screen Time,Use of AI Tools for Creativity,AI Tools Used,Reliance on Technology for Ideas,Self-Reported Creativity Score,Technology's Impact on Creativity,Preference for Independent Problem-Solving
23-24,Less than 2 hours,Yes,"MidJourney, ChatGPT, DALL-E",Often,4,Positive,With technology
23-24,2-4 hours,Yes,"ChatGPT, Canva, Grammarly",Often,3,No impact,With technology
23-24,Less than 2 hours,No,None,Sometimes,3,No impact,Independently
23-24,2-4 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Sometimes,3,No impact,Independently
21-22,2-4 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Sometimes,5,Positive,Independently
21-22,More than 4 hours,Yes,"ChatGPT, DALL-E, Adobe",Often,2,Negative,With technology
21-22,More than 4 hours,Yes,"ChatGPT, DALL-E, Adobe",Rarely,2,Negative,Independently
21-22,2-4 hours,Yes,"ChatGPT, Canva, Adobe",Often,5,Positive,With technology
23-24,Less than 2 hours,No,None,Never,3,No impact,Independently
23-24,2-4 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Rarely,3,No impact,Independently
18-20,2-4 hours,Yes,"ChatGPT, DALL-E, Adobe",Often,3,No impact,With technology
18-20,More than 4 hours,Yes,"MidJourney, ChatGPT, DALL-E",Rarely,2,Negative,Independently
18-20,More than 4 hours,Yes,"Canva, Adobe, DALL-E",Never,4,Positive,Independently
18-20,More than 4 hours,Yes,"ChatGPT, MidJourney, Canva",Sometimes,2,Negative,Independently
18-20,More than 4 hours,Yes,"Canva, Adobe, DALL-E",Sometimes,5,Positive,Independently
21-22,More than 4 hours,Yes,"MidJourney, ChatGPT, DALL-E",Never,5,Positive,Independently
23-24,Less than 2 hours,No,None,Sometimes,4,Positive,Independently
18-20,More than 4 hours,Yes,"ChatGPT, Canva, Adobe",Sometimes,5,Positive,Independently
23-24,2-4 hours,Yes,"Canva, Adobe, DALL-E",Sometimes,5,Positive,Independently
18-20,2-4 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Sometimes,3,No impact,Independently
23-24,2-4 hours,Yes,"Canva, Adobe, DALL-E",Often,4,Positive,With technology
18-20,2-4 hours,Yes,"ChatGPT, MidJourney, DALL-E",Never,5,Positive,Independently
23-24,Less than 2 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Rarely,1,Negative,Independently
18-20,2-4 hours,Yes,"ChatGPT, MidJourney, DALL-E",Often,4,Positive,With technology
23-24,Less than 2 hours,No,None,Often,2,Negative,With technology
23-24,2-4 hours,Yes,"ChatGPT, Canva, Grammarly",Sometimes,4,Positive,Independently
18-20,More than 4 hours,Yes,"Canva, Adobe, DALL-E",Sometimes,3,No impact,Independently
21-22,2-4 hours,Yes,"ChatGPT, MidJourney, DALL-E",Sometimes,2,Negative,Independently
18-20,More than 4 hours,Yes,"ChatGPT, MidJourney, DALL-E",Rarely,5,Positive,Independently
23-24,Less than 2 hours,Yes,"ChatGPT, MidJourney, Canva",Rarely,2,Negative,Independently
18-20,2-4 hours,Yes,"Canva, Adobe, DALL-E",Rarely,3,No impact,Independently
23-24,Less than 2 hours,No,None,Always,3,No impact,With technology
23-24,2-4 hours,Yes,"ChatGPT, MidJourney, DALL-E",Often,3,No impact,With technology
23-24,Less than 2 hours,No,None,Sometimes,3,No impact,Independently
23-24,2-4 hours,Yes,"MidJourney, ChatGPT, DALL-E",Sometimes,2,Negative,Independently
18-20,More than 4 hours,Yes,"ChatGPT, DALL-E, Adobe",Sometimes,1,Negative,Independently
21-22,2-4 hours,Yes,"ChatGPT, MidJourney, DALL-E",Never,3,No impact,Independently
21-22,More than 4 hours,Yes,"ChatGPT, Grammarly, Canva, Adobe",Often,3,No impact,With technology
23-24,2-4 hours,Yes,"Canva, Adobe, DALL-E",Often,3,No impact,With technology
21-22,More than 4 hours,Yes,"ChatGPT, DALL-E, Adobe",Rarely,3,No impact,Independently
18-20,2-4 hours,Yes,"ChatGPT, Grammarly, Canva, Adobe",Sometimes,4,Positive,Independently
23-24,Less than 2 hours,Yes,"MidJourney, ChatGPT, DALL-E",Never,4,Positive,Independently
21-22,More than 4 hours,Yes,"ChatGPT, Grammarly, Canva, Adobe",Sometimes,4,Positive,Independently
23-24,Less than 2 hours,No,None,Sometimes,3,No impact,Independently
23-24,2-4 hours,Yes,"ChatGPT, Canva, Grammarly",Never,5,Positive,Independently
18-20,2-4 hours,Yes,"ChatGPT, MidJourney, Canva",Often,2,Negative,With technology
18-20,More than 4 hours,Yes,"ChatGPT, Grammarly, Canva, Adobe",Always,3,No impact,With technology
18-20,2-4 hours,Yes,"ChatGPT, Canva, Grammarly",Rarely,5,Positive,Independently
18-20,2-4 hours,Yes,"ChatGPT, DALL-E, Adobe",Often,3,No impact,With technology
23-24,2-4 hours,Yes,"MidJourney, ChatGPT, DALL-E",Sometimes,1,Negative,Independently
23-24,2-4 hours,Yes,"ChatGPT, MidJourney, Canva",Always,3,No impact,With technology
18-20,2-4 hours,Yes,"ChatGPT, Grammarly, Canva, Adobe",Often,3,No impact,With technology
18-20,More than 4 hours,Yes,"ChatGPT, DALL-E, Adobe",Rarely,4,Positive,Independently
23-24,Less than 2 hours,Yes,"ChatGPT, MidJourney, DALL-E",Sometimes,4,Positive,Independently
23-24,Less than 2 hours,No,None,Rarely,2,Negative,Independently
23-24,2-4 hours,Yes,"ChatGPT, MidJourney, Canva",Never,3,No impact,Independently
18-20,2-4 hours,Yes,"ChatGPT, MidJourney, Canva",Rarely,4,Positive,Independently
23-24,Less than 2 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Often,3,No impact,With technology
18-20,2-4 hours,Yes,"MidJourney, ChatGPT, DALL-E",Sometimes,4,Positive,Independently
21-22,2-4 hours,Yes,"ChatGPT, DALL-E, Adobe",Rarely,5,Positive,Independently
23-24,Less than 2 hours,Yes,"MidJourney, ChatGPT, DALL-E",Often,4,Positive,With technology
23-24,2-4 hours,Yes,"Canva, Adobe, DALL-E",Sometimes,3,No impact,Independently
21-22,More than 4 hours,Yes,"ChatGPT, Grammarly, Adobe, DALL-E",Sometimes,4,Positive,Independently
18-20,More than 4 hours,Yes,"ChatGPT, DALL-E, Adobe",Rarely,1,Negative,Independently
23-24,Less than 2 hours,No,None,Sometimes,5,Positive,Independently
18-20,More than 4 hours,Yes,"ChatGPT, Canva, Adobe",Never,3,No impact,Independently
18-20,More than 4 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Rarely,2,Negative,Independently
21-22,2-4 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Sometimes,5,Positive,Independently
18-20,2-4 hours,Yes,"ChatGPT, MidJourney, Canva",Sometimes,1,Negative,Independently
21-22,More than 4 hours,Yes,"Canva, Adobe, DALL-E",Sometimes,3,No impact,Independently
23-24,Less than 2 hours,No,None,Rarely,3,No impact,Independently
18-20,2-4 hours,Yes,"MidJourney, ChatGPT, DALL-E",Rarely,4,Positive,Independently
18-20,More than 4 hours,Yes,"Canva, Adobe, DALL-E",Often,4,Positive,With technology
23-24,Less than 2 hours,Yes,"ChatGPT, Grammarly, Canva, Adobe",Always,3,No impact,With technology
18-20,More than 4 hours,Yes,"ChatGPT, MidJourney, DALL-E",Sometimes,3,No impact,Independently
23-24,2-4 hours,Yes,"ChatGPT, Grammarly, Adobe, DALL-E",Sometimes,3,No impact,Independently
18-20,2-4 hours,Yes,"ChatGPT, Canva, Adobe",Never,5,Positive,Independently
21-22,More than 4 hours,Yes,"ChatGPT, Grammarly, Adobe, DALL-E",Rarely,4,Positive,Independently
18-20,More than 4 hours,Yes,"ChatGPT, Grammarly, Canva, Adobe",Sometimes,4,Positive,Independently
23-24,2-4 hours,Yes,"ChatGPT, MidJourney, DALL-E",Often,3,No impact,With technology
18-20,2-4 hours,Yes,"ChatGPT, DALL-E, Adobe",Sometimes,2,Negative,Independently
21-22,2-4 hours,Yes,"ChatGPT, DALL-E, Adobe",Rarely,3,No impact,Independently
18-20,More than 4 hours,Yes,"MidJourney, ChatGPT, DALL-E",Often,5,Positive,With technology
21-22,More than 4 hours,Yes,"Canva, Adobe, DALL-E",Rarely,3,No impact,Independently
23-24,2-4 hours,Yes,"ChatGPT, Canva, Grammarly",Sometimes,5,Positive,Independently
21-22,More than 4 hours,Yes,"ChatGPT, Grammarly, Canva, Adobe",Sometimes,1,Negative,Independently
23-24,Less than 2 hours,Yes,"Canva, Adobe, DALL-E",Often,2,Negative,With technology
23-24,Less than 2 hours,Yes,"ChatGPT, Canva, Grammarly",Sometimes,4,Positive,Independently
23-24,Less than 2 hours,Yes,"ChatGPT, Canva, Grammarly",Rarely,3,No impact,Independently
21-22,2-4 hours,Yes,"ChatGPT, MidJourney, Canva",Rarely,4,Positive,Independently
21-22,More than 4 hours,Yes,"ChatGPT, Canva, Adobe",Rarely,2,Negative,Independently
21-22,2-4 hours,Yes,"ChatGPT, Canva, Adobe",Rarely,3,No impact,Independently
21-22,More than 4 hours,Yes,"ChatGPT, Canva, Grammarly",Rarely,3,No impact,Independently
18-20,2-4 hours,Yes,"Canva, Adobe, DALL-E",Rarely,4,Positive,Independently
23-24,Less than 2 hours,Yes,"ChatGPT, Grammarly, Canva, Adobe",Sometimes,3,No impact,Independently
21-22,2-4 hours,Yes,"ChatGPT, Grammarly, Canva, Adobe",Always,5,Positive,With technology
23-24,2-4 hours,Yes,"MidJourney, ChatGPT, DALL-E",Always,3,No impact,With technology
23-24,2-4 hours,Yes,"ChatGPT, Canva, Grammarly",Often,3,No impact,With technology
21-22,2-4 hours,Yes,"Canva, Adobe, DALL-E",Rarely,4,Positive,Independently
21-22,2-4 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Rarely,3,No impact,Independently
23-24,Less than 2 hours,Yes,"ChatGPT, Grammarly, Canva, Adobe",Rarely,4,Positive,Independently
18-20,More than 4 hours,Yes,"ChatGPT, Grammarly, Adobe, DALL-E",Sometimes,1,Negative,Independently
23-24,Less than 2 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Often,2,Negative,With technology
23-24,Less than 2 hours,Yes,"MidJourney, ChatGPT, DALL-E",Sometimes,2,Negative,Independently
21-22,More than 4 hours,Yes,"ChatGPT, Canva, Grammarly",Always,3,No impact,With technology
23-24,2-4 hours,Yes,"ChatGPT, Canva, Adobe",Rarely,4,Positive,Independently
21-22,2-4 hours,Yes,"ChatGPT, Grammarly, Adobe, DALL-E",Often,2,Negative,With technology
23-24,Less than 2 hours,No,None,Always,2,Negative,With technology
18-20,More than 4 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Sometimes,4,Positive,Independently
23-24,Less than 2 hours,No,None,Rarely,3,No impact,Independently
21-22,More than 4 hours,Yes,"Canva, Adobe, DALL-E",Rarely,3,No impact,Independently
23-24,2-4 hours,Yes,"ChatGPT, MidJourney, Canva",Never,3,No impact,Independently
21-22,More than 4 hours,Yes,"ChatGPT, Canva, Adobe",Rarely,5,Positive,Independently
18-20,2-4 hours,Yes,"ChatGPT, Canva, Grammarly",Always,3,No impact,With technology
21-22,2-4 hours,Yes,"MidJourney, ChatGPT, DALL-E",Often,4,Positive,With technology
18-20,2-4 hours,Yes,"Canva, Adobe, DALL-E",Always,5,Positive,With technology
21-22,More than 4 hours,Yes,"ChatGPT, Canva, Adobe",Often,3,No impact,With technology
21-22,2-4 hours,Yes,"ChatGPT, Canva, Grammarly",Sometimes,2,Negative,Independently
18-20,2-4 hours,Yes,"ChatGPT, Grammarly, Adobe, DALL-E",Rarely,2,Negative,Independently
21-22,More than 4 hours,Yes,"ChatGPT, Grammarly, Canva, Adobe",Sometimes,3,No impact,Independently
21-22,2-4 hours,Yes,"ChatGPT, Grammarly, Canva, Adobe",Never,3,No impact,Independently
23-24,Less than 2 hours,No,None,Sometimes,2,Negative,Independently
21-22,More than 4 hours,Yes,"ChatGPT, Grammarly, Adobe, DALL-E",Often,2,Negative,With technology
21-22,More than 4 hours,Yes,"ChatGPT, MidJourney, DALL-E",Rarely,3,No impact,Independently
18-20,2-4 hours,Yes,"ChatGPT, Canva, Grammarly",Rarely,2,Negative,Independently
21-22,More than 4 hours,Yes,"ChatGPT, Canva, Grammarly",Often,5,Positive,With technology
23-24,Less than 2 hours,Yes,"ChatGPT, Canva, Adobe",Sometimes,3,No impact,Independently
18-20,More than 4 hours,Yes,"MidJourney, ChatGPT, DALL-E",Rarely,3,No impact,Independently
23-24,2-4 hours,Yes,"Canva, Adobe, DALL-E",Always,3,No impact,With technology
18-20,2-4 hours,Yes,"ChatGPT, DALL-E, Adobe",Sometimes,3,No impact,Independently
23-24,2-4 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Rarely,5,Positive,Independently
18-20,2-4 hours,Yes,"Canva, Adobe, DALL-E",Often,4,Positive,With technology
18-20,2-4 hours,Yes,"ChatGPT, Canva, Adobe",Sometimes,5,Positive,Independently
23-24,Less than 2 hours,Yes,"ChatGPT, Grammarly, Adobe, DALL-E",Often,5,Positive,With technology
23-24,2-4 hours,Yes,"ChatGPT, DALL-E, Adobe",Sometimes,4,Positive,Independently
18-20,2-4 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Sometimes,4,Positive,Independently
23-24,2-4 hours,Yes,"ChatGPT, MidJourney, Canva",Never,4,Positive,Independently
21-22,2-4 hours,Yes,"ChatGPT, MidJourney, Canva",Sometimes,4,Positive,Independently
18-20,More than 4 hours,Yes,"ChatGPT, Grammarly, Adobe, DALL-E",Often,1,Negative,With technology
21-22,More than 4 hours,Yes,"MidJourney, ChatGPT, DALL-E",Sometimes,4,Positive,Independently
23-24,Less than 2 hours,Yes,"ChatGPT, MidJourney, Canva",Rarely,3,No impact,Independently
23-24,2-4 hours,Yes,"ChatGPT, Canva, Adobe",Never,4,Positive,Independently
23-24,2-4 hours,Yes,"ChatGPT, MidJourney, Canva",Rarely,5,Positive,Independently
21-22,2-4 hours,Yes,"MidJourney, ChatGPT, DALL-E",Often,3,No impact,With technology
21-22,More than 4 hours,Yes,"MidJourney, ChatGPT, DALL-E",Sometimes,2,Negative,Independently
18-20,More than 4 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Rarely,3,No impact,Independently
18-20,2-4 hours,Yes,"ChatGPT, Canva, Grammarly",Often,5,Positive,With technology
23-24,2-4 hours,Yes,"Canva, Adobe, DALL-E",Rarely,4,Positive,Independently
21-22,2-4 hours,Yes,"ChatGPT, DALL-E, Adobe",Often,3,No impact,With technology
21-22,More than 4 hours,Yes,"ChatGPT, DALL-E, Adobe",Rarely,1,Negative,Independently
18-20,2-4 hours,Yes,"ChatGPT, Grammarly, Canva, Adobe",Always,4,Positive,With technology
23-24,Less than 2 hours,Yes,"MidJourney, ChatGPT, DALL-E",Often,5,Positive,With technology
23-24,Less than 2 hours,Yes,"ChatGPT, MidJourney, Canva",Sometimes,3,No impact,Independently
23-24,2-4 hours,Yes,"ChatGPT, Grammarly, Adobe, DALL-E",Sometimes,3,No impact,Independently
18-20,2-4 hours,Yes,"ChatGPT, Canva, Grammarly",Rarely,1,Negative,Independently
18-20,More than 4 hours,Yes,"ChatGPT, Canva, Grammarly",Rarely,4,Positive,Independently
21-22,2-4 hours,Yes,"MidJourney, ChatGPT, DALL-E",Sometimes,5,Positive,Independently
23-24,Less than 2 hours,Yes,"ChatGPT, MidJourney, Canva",Rarely,3,No impact,Independently
18-20,2-4 hours,Yes,"Canva, Adobe, DALL-E",Always,1,Negative,With technology
21-22,2-4 hours,Yes,"ChatGPT, DALL-E, Adobe",Sometimes,4,Positive,Independently
23-24,2-4 hours,Yes,"Canva, Adobe, DALL-E",Rarely,4,Positive,Independently
23-24,2-4 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Never,3,No impact,Independently
23-24,2-4 hours,Yes,"ChatGPT, Grammarly, Canva, Adobe",Sometimes,3,No impact,Independently
18-20,2-4 hours,Yes,"Canva, Adobe, DALL-E",Sometimes,5,Positive,Independently
23-24,2-4 hours,Yes,"ChatGPT, Canva, Grammarly",Rarely,5,Positive,Independently
21-22,2-4 hours,Yes,"ChatGPT, Canva, Grammarly",Sometimes,3,No impact,Independently
18-20,2-4 hours,Yes,"MidJourney, ChatGPT, DALL-E",Often,3,No impact,With technology
18-20,2-4 hours,Yes,"MidJourney, ChatGPT, DALL-E",Always,3,No impact,With technology
21-22,2-4 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Sometimes,3,No impact,Independently
23-24,Less than 2 hours,No,None,Never,2,Negative,Independently
18-20,2-4 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Sometimes,3,No impact,Independently
18-20,More than 4 hours,Yes,"MidJourney, ChatGPT, DALL-E",Always,4,Positive,With technology
23-24,2-4 hours,Yes,"Canva, Adobe, DALL-E",Often,5,Positive,With technology
21-22,2-4 hours,Yes,"Canva, Adobe, DALL-E",Often,5,Positive,With technology
18-20,More than 4 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Sometimes,5,Positive,Independently
21-22,More than 4 hours,Yes,"ChatGPT, MidJourney, Canva",Rarely,4,Positive,Independently
21-22,2-4 hours,Yes,"MidJourney, ChatGPT, DALL-E",Sometimes,4,Positive,Independently
18-20,2-4 hours,Yes,"ChatGPT, Canva, Adobe",Sometimes,4,Positive,Independently
18-20,2-4 hours,Yes,"ChatGPT, Canva, Grammarly",Always,3,No impact,With technology
18-20,More than 4 hours,Yes,"ChatGPT, MidJourney, Canva",Rarely,4,Positive,Independently
18-20,2-4 hours,Yes,"ChatGPT, MidJourney, Canva",Sometimes,4,Positive,Independently
18-20,More than 4 hours,Yes,"ChatGPT, DALL-E, Adobe",Rarely,4,Positive,Independently
21-22,2-4 hours,Yes,"Canva, Adobe, DALL-E",Always,2,Negative,With technology
21-22,More than 4 hours,Yes,"ChatGPT, MidJourney, Canva",Often,3,No impact,With technology
21-22,2-4 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Sometimes,4,Positive,Independently
21-22,More than 4 hours,Yes,"ChatGPT, Canva, Grammarly",Rarely,3,No impact,Independently
21-22,More than 4 hours,Yes,"Canva, Adobe, DALL-E",Never,5,Positive,Independently
18-20,More than 4 hours,Yes,"ChatGPT, Canva, Adobe",Often,2,Negative,With technology
18-20,More than 4 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Always,4,Positive,With technology
21-22,More than 4 hours,Yes,"ChatGPT, Canva, Adobe",Sometimes,3,No impact,Independently
18-20,2-4 hours,Yes,"MidJourney, ChatGPT, DALL-E",Sometimes,1,Negative,Independently
23-24,2-4 hours,Yes,"Canva, Adobe, DALL-E",Sometimes,3,No impact,Independently
23-24,2-4 hours,Yes,"MidJourney, ChatGPT, DALL-E",Often,4,Positive,With technology
18-20,More than 4 hours,Yes,"ChatGPT, MidJourney, Canva",Always,5,Positive,With technology
21-22,2-4 hours,Yes,"ChatGPT, MidJourney, DALL-E",Rarely,2,Negative,Independently
18-20,More than 4 hours,Yes,"ChatGPT, DALL-E, Adobe",Rarely,3,No impact,Independently
23-24,Less than 2 hours,Yes,"ChatGPT, DALL-E, Adobe",Often,5,Positive,With technology
23-24,2-4 hours,Yes,"ChatGPT, Canva, Grammarly",Never,2,Negative,Independently
23-24,Less than 2 hours,No,None,Sometimes,3,No impact,Independently
18-20,More than 4 hours,Yes,"ChatGPT, Grammarly, Adobe, DALL-E",Sometimes,4,Positive,Independently
23-24,2-4 hours,Yes,"MidJourney, ChatGPT, DALL-E",Never,4,Positive,Independently
23-24,2-4 hours,Yes,"ChatGPT, Grammarly, Adobe, DALL-E",Often,5,Positive,With technology
21-22,2-4 hours,Yes,"ChatGPT, Grammarly, Canva, Adobe",Never,3,No impact,Independently
18-20,2-4 hours,Yes,"ChatGPT, DALL-E, Adobe",Never,3,No impact,Independently
21-22,2-4 hours,Yes,"ChatGPT, DALL-E, Adobe",Sometimes,3,No impact,Independently
23-24,2-4 hours,Yes,"Canva, Adobe, DALL-E",Rarely,3,No impact,Independently
18-20,More than 4 hours,Yes,"ChatGPT, DALL-E, Adobe",Always,3,No impact,With technology
23-24,Less than 2 hours,Yes,"ChatGPT, DALL-E, Adobe",Sometimes,4,Positive,Independently
21-22,More than 4 hours,Yes,"MidJourney, ChatGPT, DALL-E",Sometimes,5,Positive,Independently
23-24,2-4 hours,Yes,"ChatGPT, Grammarly, Canva, Adobe",Never,3,No impact,Independently
18-20,2-4 hours,Yes,"ChatGPT, DALL-E, Adobe",Never,3,No impact,Independently
23-24,Less than 2 hours,No,None,Never,3,No impact,Independently
18-20,More than 4 hours,Yes,"MidJourney, ChatGPT, DALL-E",Rarely,4,Positive,Independently
21-22,2-4 hours,Yes,"ChatGPT, Grammarly, Adobe, DALL-E",Rarely,2,Negative,Independently
18-20,2-4 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Rarely,2,Negative,Independently
18-20,More than 4 hours,Yes,"ChatGPT, Grammarly, Adobe, DALL-E",Sometimes,4,Positive,Independently
18-20,More than 4 hours,Yes,"ChatGPT, Canva, Adobe",Sometimes,3,No impact,Independently
23-24,2-4 hours,Yes,"ChatGPT, MidJourney, Canva",Often,5,Positive,With technology
21-22,2-4 hours,Yes,"ChatGPT, DALL-E, Adobe",Rarely,3,No impact,Independently
18-20,More than 4 hours,Yes,"ChatGPT, Grammarly, Canva, Adobe",Never,3,No impact,Independently
21-22,2-4 hours,Yes,"ChatGPT, Grammarly, Canva, Adobe",Rarely,3,No impact,Independently
23-24,Less than 2 hours,Yes,"ChatGPT, MidJourney, DALL-E",Rarely,4,Positive,Independently
18-20,2-4 hours,Yes,"ChatGPT, Grammarly, Canva, Adobe",Rarely,4,Positive,Independently
23-24,2-4 hours,Yes,"ChatGPT, MidJourney, Canva",Sometimes,4,Positive,Independently
18-20,2-4 hours,Yes,"ChatGPT, Grammarly, Canva, Adobe",Always,4,Positive,With technology
18-20,More than 4 hours,Yes,"ChatGPT, DALL-E, Adobe",Never,2,Negative,Independently
18-20,2-4 hours,Yes,"ChatGPT, MidJourney, DALL-E",Often,3,No impact,With technology
18-20,2-4 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Sometimes,4,Positive,Independently
21-22,2-4 hours,Yes,"ChatGPT, Canva, Adobe",Rarely,4,Positive,Independently
23-24,Less than 2 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Sometimes,4,Positive,Independently
23-24,Less than 2 hours,Yes,"ChatGPT, MidJourney, DALL-E",Never,4,Positive,Independently
21-22,2-4 hours,Yes,"ChatGPT, MidJourney, DALL-E",Rarely,3,No impact,Independently
21-22,More than 4 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Often,4,Positive,With technology
23-24,Less than 2 hours,No,None,Sometimes,4,Positive,Independently
23-24,2-4 hours,Yes,"ChatGPT, MidJourney, Canva",Never,2,Negative,Independently
21-22,More than 4 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Often,4,Positive,With technology
18-20,More than 4 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Never,2,Negative,Independently
23-24,Less than 2 hours,Yes,"ChatGPT, MidJourney, Canva, Adobe",Rarely,4,Positive,Independently
